title,genres,director,cast,keywords,description,movieId,release_year
How to Haunting,Comedy|Sci-Fi|Romance,Todd Phillips,"Emma Stone, Steve Carell, Seth Rogen","buddy road trip, parody, satire, misunderstanding","In this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",53,1980
Hearts in Love,Romance|Horror,Marc Webb,"Ethan Hawke, Rachel McAdams, Kate Winslet","second chance, love story, relationship, destiny","In this unforgettable tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",54,2019
Dimension Night,Horror|Fantasy,Wes Craven,"Lupita Nyong'o, Patrick Wilson, Toni Collette","zombie, ghost, monster, curse","In this futuristic tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",55,2024
The Empire Project,Sci-Fi|Fantasy|Thriller,Denis Villeneuve,"Matt Damon, Carrie Fisher, Sigourney Weaver","future, time travel, artificial intelligence, dystopia","In this mysterious tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",56,2003
The Symphony Syndicate II,Crime,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this mysterious tale, a main protagonist navigates a secret agent that threatens to change everything they know.",57,2016
Diary of a Wilderness,Drama|Fantasy,Martin Scorsese,"Joaquin Phoenix, Kate Winslet, Brad Pitt","family struggle, hope, betrayal, tragedy","In this spectacular tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",58,1982
Chasing Symphony,Comedy|Fantasy|Adventure,Edgar Wright,"Will Ferrell, Paul Rudd, Steve Carell","coming of age, misunderstanding, satire, high school","In this gripping tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",59,1999
Hearts in High School,Romance,Marc Webb,"Kate Winslet, Julia Roberts, Ryan Gosling","star-crossed lovers, secret crush, second chance, relationship","In this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",60,2019
Hearts in Symphony,Romance|Action|Adventure,Marc Webb,"Rachel McAdams, Leonardo DiCaprio, Ryan Gosling","relationship, second chance, love story, destiny","In this unforgettable tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",61,2005
The Dimension Equation,Sci-Fi|Adventure,James Cameron,"Ryan Gosling, Mark Hamill, Matthew McConaughey","dystopia, simulation, space travel, time travel","In this breathtaking tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",62,1985
Chasing Paris,Comedy,Adam McKay,"Ryan Reynolds, Will Ferrell, Paul Rudd","buddy road trip, misunderstanding, high school, parody","In this futuristic tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",63,1998
Return of the High School,Fantasy,David Yates,"Elijah Wood, Emma Watson, Viggo Mortensen","magic, wizards, dragons, mythology","In this unforgettable tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",64,1994
Diary of a Pharaoh,Drama|Horror|Thriller,Quentin Tarantino,"Tim Robbins, Robert De Niro, Meryl Streep","historical events, mental illness, ambition, hope","In this dangerous tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",65,1986
Tales of Empire,Fantasy,Peter Jackson,"Orlando Bloom, Daniel Radcliffe, Johnny Depp","mythology, dragons, alternate realm, magic","In this gripping tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",66,2018
Secrets of the Paris,Mystery,Rian Johnson,"Christian Bale, Jake Gyllenhaal, Robert Downey Jr.","twist ending, secret identity, puzzle, murder mystery","In this dangerous tale, a main protagonist uncovers a hidden empire that threatens to change everything they know.",67,2012
The Paris Syndicate,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this breathtaking tale, a main protagonist investigates a secret agent that threatens to change everything they know.",68,1986
Diary of a Haunting,Drama|Action,Martin Scorsese,"Joaquin Phoenix, Kate Winslet, Meryl Streep","ambition, tragedy, mental illness, betrayal","In this gripping tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",69,2013
Chasing Artifact,Comedy|Action|Fantasy,Edgar Wright,"Paul Rudd, Jonah Hill, Jim Carrey","slapstick, misunderstanding, buddy road trip, high school","In this haunting tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",70,2003
Beyond the Haunting,Sci-Fi|Comedy|Adventure,Christopher Nolan,"Sigourney Weaver, Zoe Saldana, Carrie Fisher","space travel, artificial intelligence, cyborg, dystopia","In this futuristic tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",71,1992
Hearts in Destiny,Romance,James Cameron,"Rachel McAdams, Kate Winslet, Ryan Gosling","destiny, star-crossed lovers, second chance, love story","In this dangerous tale, a main protagonist discovers a secret agent that threatens to change everything they know.",72,2014
Whispers of the Algorithm,Thriller,Martin Scorsese,"Ben Affleck, Jake Gyllenhaal, Jodie Foster","hostage, psychological, corruption, serial killer","In this gripping tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",73,2002
The Cyborg Equation,Sci-Fi|Thriller,Lana Wachowski,"Sigourney Weaver, Carrie Fisher, Matthew McConaughey","space travel, simulation, dystopia, cyborg","In this futuristic tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",74,2014
Return of the Galaxies,Fantasy|Mystery|Sci-Fi,Guillermo del Toro,"Emma Watson, Ian McKellen, Viggo Mortensen","prophecy, magic, wizards, dark lord","In this futuristic tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",75,1996
The Last Symphony,Adventure|Drama|Mystery,Peter Jackson,"Harrison Ford, Ian McKellen, Elijah Wood","ancient, island, journey, quest","In this spectacular tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",76,2018
The Last AI,Adventure,George Lucas,"Elijah Wood, Orlando Bloom, Harrison Ford","ancient, wilderness, survival, island","In this futuristic tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",77,1981
Secrets of the Empire,Mystery|Romance|Adventure,Denis Villeneuve,"Robert Downey Jr., Jake Gyllenhaal, Christian Bale","secret identity, conspiracy, murder mystery, twist ending","In this gripping tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",78,1977
Hearts in Algorithm,Romance,Richard Linklater,"Kate Winslet, Ryan Gosling, Leonardo DiCaprio","destiny, love story, second chance, relationship","In this spectacular tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",79,1998
Curse of the Love II,Horror,Wes Craven,"Vera Farmiga, Patrick Wilson, Lupita Nyong'o","possession, haunted house, monster, survival horror","In this gripping tale, a main protagonist navigates a secret agent that threatens to change everything they know.",80,1987
The Shadows Syndicate,Crime|Mystery|Comedy,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this dangerous tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",81,1992
Shadow of the Empire,Thriller|Action|Romance,David Fincher,"Jodie Foster, Ben Affleck, Jake Gyllenhaal","psychological, hostage, corruption, ticking clock","In this spectacular tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",82,2004
The Time Escape,Action,Christopher Nolan,"Hugh Jackman, Christian Bale, Charlize Theron","rescue, martial arts, fight, explosion","In this haunting tale, a main protagonist battles a secret agent that threatens to change everything they know.",83,1993
The Pharaoh Heist,Action,Michael Bay,"Scarlett Johansson, Leonardo DiCaprio, Keanu Reeves","heist, fight, car chase, explosion","In this dangerous tale, a main protagonist battles a secret agent that threatens to change everything they know.",84,2018
Beyond the Love,Sci-Fi|Comedy|Romance,Christopher Nolan,"Matt Damon, Sigourney Weaver, Zoe Saldana","cyborg, simulation, artificial intelligence, alien","In this spectacular tale, a main protagonist confronts a secret agent that threatens to change everything they know.",85,1989
Tales of Paris,Fantasy,David Yates,"Orlando Bloom, Elijah Wood, Daniel Radcliffe","dark lord, elves, alternate realm, prophecy","In this futuristic tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",86,2015
The Wilderness Project,Sci-Fi,James Cameron,"Carrie Fisher, Sandra Bullock, Mark Hamill","artificial intelligence, alien, dystopia, simulation","In this futuristic tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",87,2004
Beyond the Algorithm,Sci-Fi|Action,Lana Wachowski,"Sandra Bullock, Matthew McConaughey, Matt Damon","alien, artificial intelligence, time travel, simulation","In this dangerous tale, a main protagonist investigates a secret agent that threatens to change everything they know.",88,1980
Whispers of the Deep Sea,Thriller|Adventure|Action,Christopher Nolan,"Leonardo DiCaprio, Jake Gyllenhaal, Morgan Freeman","ticking clock, hostage, conspiracy, kidnapping","In this mysterious tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",89,2007
The Last Revenge,Adventure,George Lucas,"Sam Neill, Daniel Radcliffe, Johnny Depp","island, wilderness, ancient, treasure hunt","In this mysterious tale, a main protagonist uncovers a mysterious artifact that threatens to change everything they know.",90,1983
Tales of Pharaoh,Fantasy|Sci-Fi|Horror,Guillermo del Toro,"Viggo Mortensen, Ian McKellen, Daniel Radcliffe","prophecy, mythology, elves, magic","In this breathtaking tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",91,1988
Hearts in Destiny II,Romance|Horror,Richard Linklater,"Leonardo DiCaprio, Kate Winslet, Ethan Hawke","secret crush, star-crossed lovers, destiny, relationship","In this spectacular tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",92,2018
Return of the Symphony,Fantasy|Thriller,Chris Columbus,"Orlando Bloom, Emma Watson, Johnny Depp","prophecy, dark lord, elves, alternate realm","In this mysterious tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",93,2010
The Deep Sea Project,Sci-Fi,Ridley Scott,"Matt Damon, Keanu Reeves, Mark Hamill","time travel, artificial intelligence, cyborg, future","In this futuristic tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",94,2013
The Revenge Equation,Sci-Fi,Christopher Nolan,"Sigourney Weaver, Carrie Fisher, Keanu Reeves","future, simulation, artificial intelligence, time travel","In this mysterious tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",95,2006
Beyond the Time,Sci-Fi,Christopher Nolan,"Sigourney Weaver, Mark Hamill, Sandra Bullock","artificial intelligence, dystopia, future, alien","In this breathtaking tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",96,1977
Curse of the High School,Horror,Wes Craven,"Jamie Lee Curtis, Ethan Hawke, Patrick Wilson","possession, haunted house, monster, ghost","In this mysterious tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",97,2014
Tales of Deep Sea,Fantasy,Guillermo del Toro,"Orlando Bloom, Ian McKellen, Emma Watson","alternate realm, dragons, mythology, elves","In this dangerous tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",98,1975
The Last Love,Adventure,Peter Jackson,"Emma Watson, Ian McKellen, Harrison Ford","journey, exploration, treasure hunt, ancient","In this gripping tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",99,2008
The Artifact Heist,Action|Thriller|Adventure,Michael Bay,"Robert Downey Jr., Tom Cruise, Hugh Jackman","heist, car chase, explosion, superhero","In this spectacular tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",100,2022
The Last Shadows,Adventure|Horror|Action,Steven Spielberg,"Tom Hanks, Ian McKellen, Harrison Ford","survival, wilderness, exploration, island","In this haunting tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",101,2000
The Last Shadows II,Adventure|Thriller,Ridley Scott,"Harrison Ford, Orlando Bloom, Emma Watson","journey, exploration, survival, treasure hunt","In this mysterious tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",102,1976
The Haunting Equation,Sci-Fi|Drama|Adventure,Ridley Scott,"Keanu Reeves, Matthew McConaughey, Mark Hamill","artificial intelligence, cyborg, dystopia, space travel","In this spectacular tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",103,1994
Hearts in Pharaoh,Romance|Sci-Fi,Rob Reiner,"Rachel McAdams, Julia Roberts, Leonardo DiCaprio","forbidden love, relationship, secret crush, star-crossed lovers","In this gripping tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",104,1984
Shadow of the Shadows,Thriller|Adventure|Mystery,Denis Villeneuve,"Jake Gyllenhaal, Jodie Foster, Brad Pitt","psychological, ticking clock, serial killer, conspiracy","In this breathtaking tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",105,1978
The Love Project,Sci-Fi,Christopher Nolan,"Matthew McConaughey, Ryan Gosling, Carrie Fisher","simulation, artificial intelligence, future, alien","In this breathtaking tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",106,2023
The High School Syndicate,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this unforgettable tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",107,1982
Shadow of the Time,Thriller,Christopher Nolan,"Jake Gyllenhaal, Christian Bale, Ben Affleck","serial killer, ticking clock, hostage, kidnapping","In this futuristic tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",108,1981
Shadow of the Algorithm,Thriller|Romance,David Fincher,"Brad Pitt, Jodie Foster, Edward Norton","kidnapping, ticking clock, conspiracy, corruption","In this haunting tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",109,1984
Diary of a High School,Drama|Mystery,Martin Scorsese,"Meryl Streep, Joaquin Phoenix, Matthew McConaughey","hope, friendship, historical events, betrayal","In this futuristic tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",110,2002
Chronicles of Haunting,Adventure,Peter Jackson,"Elijah Wood, Orlando Bloom, Tom Hanks","treasure hunt, exploration, island, survival","In this futuristic tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",111,2009
Whispers of the Symphony,Thriller,Christopher Nolan,"Brad Pitt, Jodie Foster, Leonardo DiCaprio","kidnapping, psychological, conspiracy, hostage","In this gripping tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",112,1980
How to Pharaoh,Comedy|Drama|Fantasy,Edgar Wright,"Ryan Reynolds, Steve Carell, Seth Rogen","misunderstanding, slapstick, buddy road trip, satire","In this haunting tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",113,1990
Secrets of the Time,Mystery|Drama|Romance,Denis Villeneuve,"Christian Bale, Jake Gyllenhaal, Amy Adams","murder mystery, twist ending, secret identity, puzzle","In this spectacular tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",114,2014
The Deep Sea Equation,Sci-Fi|Thriller,James Cameron,"Sandra Bullock, Mark Hamill, Zoe Saldana","future, space travel, cyborg, artificial intelligence","In this futuristic tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",115,1989
The Cyborg Escape,Action,George Miller,"Chris Hemsworth, Scarlett Johansson, Hugh Jackman","martial arts, explosion, fight, car chase","In this breathtaking tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",116,1983
Dreamer Night,Horror|Drama,James Wan,"Vera Farmiga, Toni Collette, Ethan Hawke","zombie, survival horror, haunted house, monster","In this dangerous tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",117,1983
The High School Heist,Action|Sci-Fi,John Woo,"Hugh Jackman, Chris Hemsworth, Scarlett Johansson","revenge, superhero, fight, martial arts","In this futuristic tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",118,1987
