title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
The Wolf of Wall Street,Biography Comedy Crime Drama,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","finance, stock market, corruption, drugs, wall street","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",13,2022,martinscorsese,leonardodicaprio jonahhill margotrobbie,finance stockmarket corruption drugs wallstreet,biography comedy crime drama,"biography comedy crime drama martinscorsese leonardodicaprio jonahhill margotrobbie finance stockmarket corruption drugs wallstreet based on the true story of jordan belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Shutter Island,Mystery Thriller,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley","mental asylum, detective, twist ending, conspiracy, trauma","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth.",14,2022,martinscorsese,leonardodicaprio markruffalo benkingsley,mentalasylum detective twistending conspiracy trauma,mystery thriller,"mystery thriller martinscorsese leonardodicaprio markruffalo benkingsley mentalasylum detective twistending conspiracy trauma teddy daniels and chuck aule, two us marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where teddy uncovers a shocking truth."
Seven,Crime Mystery Thriller,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow","serial killer, seven deadly sins, detective, rainy city, twist ending","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",15,2009,davidfincher,bradpitt morganfreeman gwynethpaltrow,serialkiller sevendeadlysins detective rainycity twistending,crime mystery thriller,"crime mystery thriller davidfincher bradpitt morganfreeman gwynethpaltrow serialkiller sevendeadlysins detective rainycity twistending two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Fight Club,Drama,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter","insomnia, alter ego, anti-consumerism, secret society, violence",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,16,1993,davidfincher,bradpitt edwardnorton helenabonhamcarter,insomnia alterego anti-consumerism secretsociety violence,drama,drama davidfincher bradpitt edwardnorton helenabonhamcarter insomnia alterego anti-consumerism secretsociety violence an insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Shawshank Redemption,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","prison, prison break, hope, friendship, corruption","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",17,2023,frankdarabont,timrobbins morganfreeman bobgunton,prison prisonbreak hope friendship corruption,drama,"drama frankdarabont timrobbins morganfreeman bobgunton prison prisonbreak hope friendship corruption over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Forrest Gump,Drama Romance,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","historical events, simpleton, love, running, friendship","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",18,2015,robertzemeckis,tomhanks robinwright garysinise,historicalevents simpleton love running friendship,drama romance,"drama romance robertzemeckis tomhanks robinwright garysinise historicalevents simpleton love running friendship the history of the united states from the 1950s to the '70s unfolds from the perspective of an alabama man with an iq of 75, who yearns to be reunited with his childhood sweetheart."
Toy Story,Adventure Comedy Fantasy,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles","toys, friendship, rivalry, childhood, animation",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,19,2000,johnlasseter,tomhanks timallen donrickles,toys friendship rivalry childhood animation,adventure comedy fantasy,adventure comedy fantasy johnlasseter tomhanks timallen donrickles toys friendship rivalry childhood animation a cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
The Avengers,Action Sci-Fi,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson","superhero, team-up, alien invasion, shield, comic book",Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,20,2013,josswhedon,robertdowneyjr. chrisevans scarlettjohansson,superhero team-up alieninvasion shield comicbook,action sci-fi,action sci-fi josswhedon robertdowneyjr. chrisevans scarlettjohansson superhero team-up alieninvasion shield comicbook earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous loki and his alien army from enslaving humanity.
Django Unchained,Drama Western,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","slavery, bounty hunter, revenge, shootout, old west","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",21,1994,quentintarantino,jamiefoxx christophwaltz leonardodicaprio,slavery bountyhunter revenge shootout oldwest,drama western,"drama western quentintarantino jamiefoxx christophwaltz leonardodicaprio slavery bountyhunter revenge shootout oldwest with the help of a german bounty-hunter, a freed slave sets out to rescue his wife from a brutal mississippi plantation owner."
The Shining,Drama Horror,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd","haunted hotel, isolation, writer, madness, winter","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",22,2020,stanleykubrick,jacknicholson shelleyduvall dannylloyd,hauntedhotel isolation writer madness winter,drama horror,"drama horror stanleykubrick jacknicholson shelleyduvall dannylloyd hauntedhotel isolation writer madness winter a family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Conjuring,Horror Mystery Thriller,James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston","paranormal investigator, haunted house, demon, exorcism, true story",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,23,2014,jameswan,patrickwilson verafarmiga ronlivingston,paranormalinvestigator hauntedhouse demon exorcism truestory,horror mystery thriller,horror mystery thriller jameswan patrickwilson verafarmiga ronlivingston paranormalinvestigator hauntedhouse demon exorcism truestory paranormal investigators ed and lorraine warren work to help a family terrorized by a dark presence in their farmhouse.
Get Out,Horror Mystery Thriller,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","social satire, conspiracy, hypnosis, racism, escape","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception eventually reaches a boiling point.",24,1999,jordanpeele,danielkaluuya allisonwilliams bradleywhitford,socialsatire conspiracy hypnosis racism escape,horror mystery thriller,"horror mystery thriller jordanpeele danielkaluuya allisonwilliams bradleywhitford socialsatire conspiracy hypnosis racism escape a young african-american visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception eventually reaches a boiling point."
A Beautiful Mind,Biography Drama,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly","schizophrenia, mathematician, codebreaking, love, Nobel prize","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",25,2000,ronhoward,russellcrowe edharris jenniferconnelly,schizophrenia mathematician codebreaking love nobelprize,biography drama,"biography drama ronhoward russellcrowe edharris jenniferconnelly schizophrenia mathematician codebreaking love nobelprize after john nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
The Lion King,Adventure Drama Fantasy,Roger Allers,"Matthew Broderick, Jeremy Irons, James Earl Jones","savannah, lion, uncle betrayal, coming of age, musical","Lion prince Simba and his father are targeted by his bitter uncle Scar, who wants to ascend the throne himself.",26,2014,rogerallers,matthewbroderick jeremyirons jamesearljones,savannah lion unclebetrayal comingofage musical,adventure drama fantasy,"adventure drama fantasy rogerallers matthewbroderick jeremyirons jamesearljones savannah lion unclebetrayal comingofage musical lion prince simba and his father are targeted by his bitter uncle scar, who wants to ascend the throne himself."
Good Will Hunting,Drama Romance,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck","genius, janitor, therapy, math, Boston, friendship","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist in order to find direction in his life.",27,1998,gusvansant,mattdamon robinwilliams benaffleck,genius janitor therapy math boston friendship,drama romance,"drama romance gusvansant mattdamon robinwilliams benaffleck genius janitor therapy math boston friendship will hunting, a janitor at m.i.t., has a gift for mathematics, but needs help from a psychologist in order to find direction in his life."
The Silence of the Lambs,Crime Drama Thriller,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney","fbi agent, serial killer, cannibalism, prison interview, profiling","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",28,2008,jonathandemme,jodiefoster anthonyhopkins lawrencea.bonney,fbiagent serialkiller cannibalism prisoninterview profiling,crime drama thriller,"crime drama thriller jonathandemme jodiefoster anthonyhopkins lawrencea.bonney fbiagent serialkiller cannibalism prisoninterview profiling a young f.b.i. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Joker,Crime Drama Thriller,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz","origin story, mental illness, social isolation, clown, rebellion","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime.",29,1998,toddphillips,joaquinphoenix robertdeniro zaziebeetz,originstory mentalillness socialisolation clown rebellion,crime drama thriller,"crime drama thriller toddphillips joaquinphoenix robertdeniro zaziebeetz originstory mentalillness socialisolation clown rebellion in gotham city, mentally troubled comedian arthur fleck is disregarded and mistreated by society. he then embarks on a downward spiral of revolution and bloody crime."
The Truman Show,Comedy Drama,Peter Weir,"Jim Carrey, Laura Linney, Ed Harris","reality tv, simulated town, paranoia, hidden cameras, escape",An insurance salesman discovers his whole life is actually a reality TV show watched by millions of viewers around the globe.,30,1999,peterweir,jimcarrey lauralinney edharris,realitytv simulatedtown paranoia hiddencameras escape,comedy drama,comedy drama peterweir jimcarrey lauralinney edharris realitytv simulatedtown paranoia hiddencameras escape an insurance salesman discovers his whole life is actually a reality tv show watched by millions of viewers around the globe.
The Last Paris,Adventure,George Lucas,"Johnny Depp, Emma Watson, Ian McKellen","journey, exploration, survival, quest","In this mysterious tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",31,1979,georgelucas,johnnydepp emmawatson ianmckellen,journey exploration survival quest,adventure,"adventure georgelucas johnnydepp emmawatson ianmckellen journey exploration survival quest in this mysterious tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know."
Secrets of the Revenge,Mystery Action Fantasy,Christopher Nolan,"Robert Downey Jr., Christian Bale, Jake Gyllenhaal","conspiracy, secret identity, puzzle, disappearance","In this spectacular tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",32,1992,christophernolan,robertdowneyjr. christianbale jakegyllenhaal,conspiracy secretidentity puzzle disappearance,mystery action fantasy,"mystery action fantasy christophernolan robertdowneyjr. christianbale jakegyllenhaal conspiracy secretidentity puzzle disappearance in this spectacular tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know."
The Last Empire,Adventure,Peter Jackson,"Orlando Bloom, Tom Hanks, Emma Watson","wilderness, survival, journey, quest","In this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",33,1996,peterjackson,orlandobloom tomhanks emmawatson,wilderness survival journey quest,adventure,"adventure peterjackson orlandobloom tomhanks emmawatson wilderness survival journey quest in this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know."
Tales of Destiny,Fantasy Comedy Thriller,Chris Columbus,"Orlando Bloom, Johnny Depp, Viggo Mortensen","prophecy, mythology, alternate realm, dragons","In this breathtaking tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",34,2001,chriscolumbus,orlandobloom johnnydepp viggomortensen,prophecy mythology alternaterealm dragons,fantasy comedy thriller,"fantasy comedy thriller chriscolumbus orlandobloom johnnydepp viggomortensen prophecy mythology alternaterealm dragons in this breathtaking tale, a main protagonist battles a mysterious artifact that threatens to change everything they know."
Chronicles of Algorithm,Adventure Horror,Ridley Scott,"Ian McKellen, Johnny Depp, Tom Hanks","survival, journey, island, quest","In this futuristic tale, a main protagonist investigates a secret agent that threatens to change everything they know.",35,2016,ridleyscott,ianmckellen johnnydepp tomhanks,survival journey island quest,adventure horror,"adventure horror ridleyscott ianmckellen johnnydepp tomhanks survival journey island quest in this futuristic tale, a main protagonist investigates a secret agent that threatens to change everything they know."
The Paris Project,Sci-Fi,Lana Wachowski,"Zoe Saldana, Keanu Reeves, Matt Damon","space travel, artificial intelligence, alien, simulation","In this spectacular tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",36,2019,lanawachowski,zoesaldana keanureeves mattdamon,spacetravel artificialintelligence alien simulation,sci-fi,"sci-fi lanawachowski zoesaldana keanureeves mattdamon spacetravel artificialintelligence alien simulation in this spectacular tale, a main protagonist travels to their deepest fears that threatens to change everything they know."
The Symphony Syndicate,Crime Mystery Thriller,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this gripping tale, a main protagonist discovers a digital virtual world that threatens to change everything they know.",37,2000,independentdirector,actorbeta actoralpha,story movie,crime mystery thriller,"crime mystery thriller independentdirector actorbeta actoralpha story movie in this gripping tale, a main protagonist discovers a digital virtual world that threatens to change everything they know."
Curse of the Galaxies,Horror Comedy Drama,Jordan Peele,"Jamie Lee Curtis, Toni Collette, Lupita Nyong'o","curse, slasher, haunted house, zombie","In this mysterious tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know.",38,1980,jordanpeele,jamieleecurtis tonicollette lupitanyong'o,curse slasher hauntedhouse zombie,horror comedy drama,"horror comedy drama jordanpeele jamieleecurtis tonicollette lupitanyong'o curse slasher hauntedhouse zombie in this mysterious tale, a main protagonist confronts a mysterious artifact that threatens to change everything they know."
Curse of the Haunting,Horror Adventure,Ari Aster,"Jamie Lee Curtis, Patrick Wilson, Florence Pugh","slasher, possession, survival horror, curse","In this dangerous tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",39,1981,ariaster,jamieleecurtis patrickwilson florencepugh,slasher possession survivalhorror curse,horror adventure,"horror adventure ariaster jamieleecurtis patrickwilson florencepugh slasher possession survivalhorror curse in this dangerous tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know."
How to Wilderness,Comedy Mystery,Judd Apatow,"Ben Stiller, Ryan Reynolds, Jim Carrey","high school, slapstick, coming of age, parody","In this unforgettable tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",40,1999,juddapatow,benstiller ryanreynolds jimcarrey,highschool slapstick comingofage parody,comedy mystery,"comedy mystery juddapatow benstiller ryanreynolds jimcarrey highschool slapstick comingofage parody in this unforgettable tale, a main protagonist investigates a hidden empire that threatens to change everything they know."
Tales of Destiny II,Fantasy,David Yates,"Daniel Radcliffe, Johnny Depp, Viggo Mortensen","dark lord, wizards, alternate realm, mythology","In this unforgettable tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",41,1991,davidyates,danielradcliffe johnnydepp viggomortensen,darklord wizards alternaterealm mythology,fantasy,"fantasy davidyates danielradcliffe johnnydepp viggomortensen darklord wizards alternaterealm mythology in this unforgettable tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know."
The Deep Sea Heist,Action,James Cameron,"Leonardo DiCaprio, Scarlett Johansson, Robert Downey Jr.","car chase, fight, revenge, heist","In this gripping tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",42,1979,jamescameron,leonardodicaprio scarlettjohansson robertdowneyjr.,carchase fight revenge heist,action,"action jamescameron leonardodicaprio scarlettjohansson robertdowneyjr. carchase fight revenge heist in this gripping tale, a main protagonist investigates a forbidden romance that threatens to change everything they know."
High School Night,Horror Thriller,Ari Aster,"Vera Farmiga, Florence Pugh, Toni Collette","zombie, monster, slasher, ghost","In this unforgettable tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",43,2010,ariaster,verafarmiga florencepugh tonicollette,zombie monster slasher ghost,horror thriller,"horror thriller ariaster verafarmiga florencepugh tonicollette zombie monster slasher ghost in this unforgettable tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Tales of Shadows,Fantasy Comedy,Peter Jackson,"Daniel Radcliffe, Orlando Bloom, Elijah Wood","mythology, dragons, prophecy, elves","In this gripping tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",44,2010,peterjackson,danielradcliffe orlandobloom elijahwood,mythology dragons prophecy elves,fantasy comedy,"fantasy comedy peterjackson danielradcliffe orlandobloom elijahwood mythology dragons prophecy elves in this gripping tale, a main protagonist discovers a forbidden romance that threatens to change everything they know."
Chronicles of Galaxies,Adventure Horror,Ridley Scott,"Emma Watson, Harrison Ford, Daniel Radcliffe","island, ancient, quest, exploration","In this haunting tale, a main protagonist battles their deepest fears that threatens to change everything they know.",45,1987,ridleyscott,emmawatson harrisonford danielradcliffe,island ancient quest exploration,adventure horror,"adventure horror ridleyscott emmawatson harrisonford danielradcliffe island ancient quest exploration in this haunting tale, a main protagonist battles their deepest fears that threatens to change everything they know."
Chronicles of Algorithm II,Adventure,Ridley Scott,"Johnny Depp, Ian McKellen, Elijah Wood","quest, island, journey, exploration","In this futuristic tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",46,1992,ridleyscott,johnnydepp ianmckellen elijahwood,quest island journey exploration,adventure,"adventure ridleyscott johnnydepp ianmckellen elijahwood quest island journey exploration in this futuristic tale, a main protagonist travels to their deepest fears that threatens to change everything they know."
The Last Time,Adventure Thriller Mystery,George Lucas,"Daniel Radcliffe, Sam Neill, Ian McKellen","exploration, survival, journey, island","In this gripping tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know.",47,2015,georgelucas,danielradcliffe samneill ianmckellen,exploration survival journey island,adventure thriller mystery,"adventure thriller mystery georgelucas danielradcliffe samneill ianmckellen exploration survival journey island in this gripping tale, a main protagonist falls in love with a deadly conspiracy that threatens to change everything they know."
Curse of the Love,Horror Mystery,Ari Aster,"Toni Collette, Lupita Nyong'o, Vera Farmiga","ghost, slasher, curse, zombie","In this haunting tale, a main protagonist battles a forbidden romance that threatens to change everything they know.",48,2022,ariaster,tonicollette lupitanyong'o verafarmiga,ghost slasher curse zombie,horror mystery,"horror mystery ariaster tonicollette lupitanyong'o verafarmiga ghost slasher curse zombie in this haunting tale, a main protagonist battles a forbidden romance that threatens to change everything they know."
Beyond the Revenge,Sci-Fi Drama Action,James Cameron,"Keanu Reeves, Matt Damon, Sigourney Weaver","dystopia, future, time travel, simulation","In this mysterious tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",49,1990,jamescameron,keanureeves mattdamon sigourneyweaver,dystopia future timetravel simulation,sci-fi drama action,"sci-fi drama action jamescameron keanureeves mattdamon sigourneyweaver dystopia future timetravel simulation in this mysterious tale, a main protagonist escapes from a secret agent that threatens to change everything they know."
Empire Night,Horror,Ari Aster,"Ethan Hawke, Jamie Lee Curtis, Lupita Nyong'o","ghost, survival horror, slasher, haunted house","In this haunting tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",50,1980,ariaster,ethanhawke jamieleecurtis lupitanyong'o,ghost survivalhorror slasher hauntedhouse,horror,"horror ariaster ethanhawke jamieleecurtis lupitanyong'o ghost survivalhorror slasher hauntedhouse in this haunting tale, a main protagonist investigates a digital virtual world that threatens to change everything they know."
Chasing Empire,Comedy,Judd Apatow,"Will Ferrell, Seth Rogen, Ryan Reynolds","coming of age, slapstick, parody, high school","In this gripping tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",51,1975,juddapatow,willferrell sethrogen ryanreynolds,comingofage slapstick parody highschool,comedy,"comedy juddapatow willferrell sethrogen ryanreynolds comingofage slapstick parody highschool in this gripping tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know."
Diary of a Time,Drama Sci-Fi Thriller,Frank Darabont,"Matthew McConaughey, Robert De Niro, Morgan Freeman","betrayal, mental illness, family struggle, historical events","In this unforgettable tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",52,1994,frankdarabont,matthewmcconaughey robertdeniro morganfreeman,betrayal mentalillness familystruggle historicalevents,drama sci-fi thriller,"drama sci-fi thriller frankdarabont matthewmcconaughey robertdeniro morganfreeman betrayal mentalillness familystruggle historicalevents in this unforgettable tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know."
How to Haunting,Comedy Sci-Fi Romance,Todd Phillips,"Emma Stone, Steve Carell, Seth Rogen","buddy road trip, parody, satire, misunderstanding","In this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",53,1980,toddphillips,emmastone stevecarell sethrogen,buddyroadtrip parody satire misunderstanding,comedy sci-fi romance,"comedy sci-fi romance toddphillips emmastone stevecarell sethrogen buddyroadtrip parody satire misunderstanding in this spectacular tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know."
